ingredient_common_name,therapeutic_category,dea_schedule,salt_name,formulation_name,dosage_form,route,concentration_value,concentration_unit,is_combination,combo_ingredients,wholesale_price_usd,available_quantities
Estradiol,Women's Health,,,Estradiol Topical Cream 0.1%,Topical Cream,Topical,0.1,%,false,,24.50,30 g|60 g
Estradiol,Women's Health,,,Estradiol Topical Cream 0.2%,Topical Cream,Topical,0.2,%,false,,27.00,30 g|60 g
Estradiol,Women's Health,,,Estradiol Topical Gel 0.05%,Topical Gel,Topical,0.05,%,false,,26.00,30 g|60 g|100 g
Estradiol,Women's Health,,,Estradiol Capsule 0.5mg,Capsule,Oral,0.5,mg,false,,19.00,30 caps|60 caps|90 caps
Estradiol,Women's Health,,,Estradiol Capsule 1mg,Capsule,Oral,1,mg,false,,20.50,30 caps|60 caps|90 caps
Estradiol,Women's Health,,,Estradiol Sublingual Tablet 0.5mg,Sublingual Tablet,Sublingual,0.5,mg,false,,18.00,30 tabs|60 tabs|90 tabs
Estradiol,Women's Health,,,Estradiol Rapid Dissolve Tablet 1mg,Rapid Dissolve Tablet (RDT),Sublingual,1,mg,false,,21.00,30 tabs|60 tabs
Estradiol,Women's Health,,,Estradiol Subcutaneous Pellet 25mg,Subcutaneous Pellet,Subcutaneous,25,mg,false,,42.00,1 pellet|3 pellets
Estradiol,Women's Health,,,Estradiol Vaginal Suppository 0.5mg,Suppository,Intravaginal,0.5,mg,false,,23.00,30 supp|60 supp
Estriol,Women's Health,,,Estriol Topical Cream 1mg/g,Topical Cream,Topical,1,mg/g,false,,25.00,30 g|60 g
Biest,Women's Health,,,Biest 80/20 Topical Cream 2.5mg/g,Topical Cream,Topical,2.5,mg/g,true,Estriol 80%|Estradiol 20%,28.00,30 g|60 g
Biest,Women's Health,,,Biest 80/20 Capsule 2.5mg,Capsule,Oral,2.5,mg,true,Estriol 80%|Estradiol 20%,22.00,30 caps|60 caps
Triest,Women's Health,,,Triest 80/10/10 Sublingual Tablet 2mg,Sublingual Tablet,Sublingual,2,mg,true,Estriol 80%|Estrone 10%|Estradiol 10%,24.00,30 tabs|60 tabs
Triest,Women's Health,,,Triest 80/10/10 Topical Cream 2mg/g,Topical Cream,Topical,2,mg/g,true,Estriol 80%|Estrone 10%|Estradiol 10%,29.00,30 g|60 g
Progesterone,Women's Health,,,Progesterone Capsule 100mg,Capsule,Oral,100,mg,false,,18.50,30 caps|60 caps|90 caps
Progesterone,Women's Health,,,Progesterone Capsule 200mg,Capsule,Oral,200,mg,false,,21.00,30 caps|60 caps|90 caps
Progesterone,Women's Health,,,Progesterone Topical Cream 20mg/g,Topical Cream,Topical,20,mg/g,false,,26.00,30 g|60 g
Progesterone,Women's Health,,,Progesterone Sublingual Tablet 100mg,Sublingual Tablet,Sublingual,100,mg,false,,19.50,30 tabs|60 tabs
Progesterone,Women's Health,,,Progesterone Vaginal Suppository 100mg,Suppository,Intravaginal,100,mg,false,,24.00,30 supp|60 supp
Progesterone,Women's Health,,,Progesterone Oral Solution 50mg/mL,Oral Solution,Oral,50,mg/mL,false,,32.00,30 mL bottle|60 mL bottle
Testosterone Cypionate,Men's Health,3,Cypionate,Testosterone Cypionate Injectable 100mg/mL,Injectable Solution,Intramuscular,100,mg/mL,false,,35.00,5 mL vial|10 mL vial
Testosterone Cypionate,Men's Health,3,Cypionate,Testosterone Cypionate Injectable 200mg/mL,Injectable Solution,Intramuscular,200,mg/mL,false,,48.00,5 mL vial|10 mL vial
Testosterone Cypionate,Men's Health,3,Cypionate,Testosterone Cypionate Injectable 50mg/mL,Injectable Solution,Intramuscular,50,mg/mL,false,,28.00,5 mL vial|10 mL vial
Testosterone Propionate,Men's Health,3,Propionate,Testosterone Propionate Injectable 100mg/mL,Injectable Solution,Intramuscular,100,mg/mL,false,,32.00,5 mL vial|10 mL vial
Testosterone,Men's Health,3,,Testosterone Topical Cream 100mg/g (Men's),Topical Cream,Topical,100,mg/g,false,,34.00,30 g|60 g
Testosterone,Women's Health,3,,Testosterone Topical Cream 10mg/g (Women's),Topical Cream,Topical,10,mg/g,false,,27.00,30 g|60 g
Testosterone,Women's Health,3,,Testosterone Topical Cream 5mg/g (Women's),Topical Cream,Topical,5,mg/g,false,,25.00,30 g|60 g
Testosterone,Men's Health,3,,Testosterone Sublingual Tablet 5mg,Sublingual Tablet,Sublingual,5,mg,false,,20.00,30 tabs|60 tabs
Testosterone,Women's Health,3,,Testosterone Subcutaneous Pellet 37.5mg,Subcutaneous Pellet,Subcutaneous,37.5,mg,false,,38.00,1 pellet|3 pellets
Testosterone,Men's Health,3,,Testosterone Subcutaneous Pellet 200mg,Subcutaneous Pellet,Subcutaneous,200,mg,false,,65.00,1 pellet|2 pellets
DHEA,Men's Health,,,DHEA Capsule 25mg,Capsule,Oral,25,mg,false,,17.00,30 caps|60 caps|90 caps
DHEA,Women's Health,,,DHEA Capsule 10mg,Capsule,Oral,10,mg,false,,16.00,30 caps|60 caps|90 caps
DHEA,Women's Health,,,DHEA Sublingual Tablet 5mg,Sublingual Tablet,Sublingual,5,mg,false,,18.00,30 tabs|60 tabs
Pregnenolone,Adrenal,,,Pregnenolone Capsule 50mg,Capsule,Oral,50,mg,false,,19.00,30 caps|60 caps|90 caps
DHEA/Pregnenolone,Adrenal,,,DHEA 50mg/Pregnenolone 25mg Capsule,Capsule,Oral,,mg,true,DHEA 50mg|Pregnenolone 25mg,23.00,30 caps|60 caps
Liothyronine,Thyroid,,,Liothyronine Capsule 5mcg,Capsule,Oral,5,mcg,false,,18.00,30 caps|60 caps|90 caps
Liothyronine,Thyroid,,,Liothyronine Capsule 25mcg,Capsule,Oral,25,mcg,false,,20.00,30 caps|60 caps|90 caps
Liothyronine,Thyroid,,,Liothyronine Sustained Release Capsule 5mcg,Capsule,Oral,5,mcg,false,,22.00,30 caps|60 caps
